name,diameter,weight,red,green,blue
orange,5.91,115.29,163.00,72.00,27.00
orange,5.91,115.37,153.00,84.00,2.00
orange,5.92,115.40,171.00,91.00,2.00
orange,5.93,115.46,155.00,93.00,2.00
orange,5.94,115.46,156.00,109.00,2.00
orange,5.94,115.55,144.00,82.00,14.00
orange,5.95,115.55,157.00,92.00,14.00
orange,5.95,115.59,180.00,80.00,2.00
orange,5.95,115.79,169.00,69.00,7.00
orange,5.96,115.82,154.00,78.00,2.00
orange,5.97,115.85,149.00,82.00,6.00
orange,5.98,115.89,156.00,84.00,2.00
orange,5.98,115.94,163.00,86.00,2.00
orange,5.99,116.21,157.00,97.00,5.00
orange,5.99,116.22,143.00,85.00,18.00
orange,5.99,116.27,166.00,81.00,11.00
orange,6.00,116.29,163.00,67.00,19.00
orange,6.00,116.32,163.00,88.00,15.00
orange,6.00,116.34,153.00,78.00,2.00
orange,6.01,116.35,169.00,72.00,2.00
orange,6.01,116.36,154.00,69.00,4.00
orange,6.02,116.40,160.00,70.00,8.00
orange,6.03,116.40,151.00,91.00,2.00
orange,6.03,116.41,158.00,73.00,2.00
orange,6.03,116.56,149.00,77.00,27.00
orange,6.04,116.56,151.00,76.00,6.00
orange,6.04,116.83,156.00,99.00,2.00
orange,6.04,116.88,140.00,93.00,2.00
orange,6.04,116.90,160.00,77.00,4.00
orange,6.04,116.90,150.00,85.00,2.00
orange,6.05,116.92,167.00,101.00,8.00
orange,6.05,116.93,156.00,89.00,2.00
orange,6.06,117.01,170.00,83.00,13.00
orange,6.06,117.10,164.00,83.00,2.00
orange,6.06,117.13,142.00,93.00,10.00
orange,6.06,117.14,155.00,88.00,18.00
orange,6.07,117.17,152.00,73.00,4.00
orange,6.07,117.18,143.00,78.00,7.00
orange,6.08,117.20,165.00,97.00,2.00
orange,6.09,117.21,161.00,93.00,12.00
orange,6.09,117.21,167.00,78.00,3.00
orange,6.10,117.28,160.00,77.00,2.00
orange,6.10,117.28,151.00,72.00,17.00
orange,6.11,117.50,168.00,74.00,2.00
orange,6.11,117.52,167.00,86.00,2.00
orange,6.11,117.57,147.00,79.00,9.00
orange,6.11,117.66,162.00,79.00,2.00
orange,6.11,117.81,163.00,75.00,17.00
orange,6.12,117.86,174.00,85.00,8.00
orange,6.14,117.93,173.00,89.00,8.00
orange,6.14,117.98,165.00,78.00,17.00
orange,6.14,118.04,159.00,104.00,10.00
orange,6.14,118.21,158.00,67.00,5.00
orange,6.14,118.27,151.00,81.00,2.00
orange,6.14,118.32,159.00,97.00,2.00
orange,6.15,118.33,154.00,90.00,12.00
orange,6.16,118.40,151.00,72.00,21.00
orange,6.16,118.48,176.00,87.00,15.00
orange,6.16,118.55,163.00,89.00,2.00
orange,6.16,118.62,173.00,95.00,2.00
orange,6.16,118.65,149.00,73.00,21.00
orange,6.16,118.77,178.00,75.00,6.00
orange,6.16,118.82,160.00,79.00,17.00
orange,6.16,118.90,150.00,78.00,2.00
orange,6.17,119.08,160.00,53.00,7.00
orange,6.17,119.12,144.00,89.00,2.00
orange,6.17,119.26,162.00,89.00,3.00
orange,6.17,119.30,159.00,89.00,2.00
orange,6.18,119.31,138.00,79.00,10.00
orange,6.18,119.32,150.00,77.00,4.00
orange,6.18,119.34,160.00,67.00,2.00
orange,6.19,119.35,162.00,84.00,2.00
orange,6.19,119.38,154.00,59.00,4.00
orange,6.20,119.41,152.00,85.00,14.00
orange,6.20,119.45,166.00,89.00,5.00
orange,6.20,119.48,146.00,79.00,2.00
orange,6.21,119.52,142.00,68.00,13.00
orange,6.21,119.63,160.00,69.00,4.00
orange,6.22,119.76,166.00,96.00,2.00
orange,6.22,119.80,172.00,85.00,16.00
orange,6.22,119.90,145.00,99.00,8.00
orange,6.23,119.97,167.00,78.00,2.00
orange,6.23,119.98,145.00,69.00,12.00
orange,6.23,120.03,162.00,75.00,2.00
orange,6.23,120.03,165.00,90.00,2.00
orange,6.24,120.04,138.00,81.00,4.00
orange,6.24,120.04,145.00,80.00,17.00
orange,6.25,120.06,153.00,93.00,2.00
orange,6.25,120.09,169.00,86.00,2.00
orange,6.25,120.10,149.00,81.00,2.00
orange,6.25,120.11,164.00,86.00,5.00
orange,6.26,120.14,149.00,61.00,2.00
orange,6.26,120.16,167.00,96.00,16.00
orange,6.27,120.26,168.00,87.00,11.00
orange,6.27,120.29,147.00,79.00,2.00
orange,6.27,120.47,169.00,66.00,2.00
orange,6.27,120.50,152.00,81.00,2.00
orange,6.27,120.51,165.00,65.00,2.00
orange,6.28,120.63,153.00,87.00,18.00
orange,6.28,120.65,144.00,81.00,19.00
orange,6.28,120.66,152.00,80.00,2.00
orange,6.28,120.66,146.00,92.00,22.00
orange,6.28,120.71,159.00,84.00,2.00
orange,6.29,120.74,153.00,63.00,2.00
orange,6.29,120.78,156.00,82.00,5.00
orange,6.29,120.79,156.00,81.00,13.00
orange,6.30,120.93,134.00,76.00,17.00
orange,6.30,120.94,153.00,98.00,2.00
orange,6.30,120.95,150.00,67.00,2.00
orange,6.31,121.04,140.00,67.00,14.00
orange,6.31,121.04,145.00,88.00,10.00
orange,6.32,121.04,166.00,84.00,9.00
orange,6.32,121.06,152.00,72.00,5.00
orange,6.32,121.18,166.00,96.00,3.00
orange,6.32,121.27,167.00,90.00,6.00
orange,6.32,121.27,165.00,92.00,20.00
orange,6.33,121.33,154.00,86.00,2.00
orange,6.33,121.36,163.00,93.00,10.00
orange,6.33,121.36,161.00,85.00,2.00
orange,6.33,121.43,144.00,71.00,2.00
orange,6.33,121.46,143.00,85.00,9.00
orange,6.34,121.49,171.00,95.00,28.00
orange,6.35,121.51,160.00,88.00,8.00
orange,6.37,121.51,151.00,87.00,2.00
orange,6.37,121.53,135.00,72.00,2.00
orange,6.37,121.53,157.00,73.00,2.00
orange,6.38,121.55,156.00,80.00,17.00
orange,6.38,121.59,156.00,95.00,8.00
orange,6.38,121.61,158.00,83.00,19.00
orange,6.38,121.64,151.00,83.00,12.00
orange,6.38,121.70,155.00,73.00,10.00
orange,6.39,121.72,163.00,74.00,2.00
orange,6.40,121.73,142.00,94.00,2.00
orange,6.40,121.74,146.00,78.00,10.00
orange,6.40,121.76,185.00,80.00,8.00
orange,6.40,121.86,161.00,89.00,2.00
orange,6.40,121.88,156.00,79.00,10.00
orange,6.41,121.94,180.00,58.00,24.00
orange,6.41,121.95,168.00,86.00,2.00
orange,6.41,121.96,161.00,87.00,2.00
orange,6.41,122.03,160.00,91.00,2.00
orange,6.42,122.05,156.00,69.00,9.00
orange,6.42,122.08,155.00,72.00,2.00
orange,6.42,122.09,172.00,95.00,2.00
orange,6.42,122.14,140.00,90.00,14.00
orange,6.42,122.20,155.00,83.00,17.00
orange,6.43,122.21,169.00,77.00,2.00
orange,6.43,122.27,146.00,98.00,5.00
orange,6.43,122.32,178.00,80.00,8.00
orange,6.43,122.35,159.00,84.00,2.00
orange,6.44,122.36,171.00,92.00,2.00
orange,6.44,122.38,170.00,68.00,2.00
orange,6.44,122.41,149.00,84.00,2.00
orange,6.44,122.44,174.00,82.00,6.00
orange,6.44,122.45,151.00,76.00,2.00
orange,6.44,122.53,162.00,80.00,12.00
orange,6.45,122.64,156.00,74.00,15.00
orange,6.45,122.66,146.00,89.00,8.00
orange,6.46,122.68,152.00,85.00,2.00
orange,6.47,122.78,144.00,83.00,5.00
orange,6.47,122.79,164.00,61.00,2.00
orange,6.47,122.85,145.00,73.00,2.00
orange,6.48,122.90,156.00,83.00,24.00
orange,6.48,122.94,177.00,83.00,3.00
orange,6.49,122.94,146.00,82.00,9.00
orange,6.49,122.95,152.00,95.00,7.00
orange,6.49,123.07,146.00,91.00,2.00
orange,6.49,123.08,136.00,96.00,12.00
orange,6.50,123.13,150.00,81.00,14.00
orange,6.50,123.15,161.00,86.00,2.00
orange,6.50,123.17,149.00,87.00,14.00
orange,6.50,123.18,159.00,108.00,12.00
orange,6.50,123.19,165.00,72.00,14.00
orange,6.50,123.19,167.00,79.00,15.00
orange,6.51,123.21,153.00,78.00,10.00
orange,6.51,123.23,156.00,91.00,12.00
orange,6.52,123.32,164.00,76.00,6.00
orange,6.52,123.33,161.00,77.00,2.00
orange,6.52,123.35,166.00,77.00,2.00
orange,6.52,123.43,142.00,98.00,2.00
orange,6.53,123.44,166.00,82.00,9.00
orange,6.53,123.47,144.00,75.00,12.00
orange,6.53,123.50,178.00,94.00,2.00
orange,6.54,123.52,158.00,71.00,2.00
orange,6.54,123.52,144.00,83.00,25.00
orange,6.54,123.54,148.00,68.00,2.00
orange,6.54,123.54,144.00,81.00,2.00
orange,6.54,123.57,183.00,84.00,2.00
orange,6.54,123.58,177.00,64.00,2.00
orange,6.55,123.68,145.00,100.00,9.00
orange,6.55,123.70,148.00,85.00,14.00
orange,6.55,123.71,161.00,76.00,2.00
orange,6.55,123.73,163.00,92.00,2.00
orange,6.55,123.73,143.00,87.00,8.00
orange,6.56,123.79,158.00,74.00,8.00
orange,6.56,123.85,142.00,99.00,8.00
orange,6.56,123.94,154.00,74.00,2.00
orange,6.57,123.95,170.00,83.00,4.00
orange,6.57,123.99,154.00,81.00,4.00
orange,6.57,123.99,158.00,71.00,2.00
orange,6.57,124.01,172.00,86.00,14.00
orange,6.57,124.03,152.00,78.00,17.00
orange,6.57,124.04,144.00,86.00,7.00
orange,6.57,124.05,159.00,72.00,2.00
orange,6.58,124.05,152.00,86.00,6.00
orange,6.58,124.08,143.00,85.00,11.00
orange,6.58,124.17,165.00,107.00,18.00
orange,6.58,124.18,160.00,76.00,2.00
orange,6.58,124.25,176.00,106.00,6.00
orange,6.58,124.28,154.00,62.00,2.00
orange,6.58,124.30,148.00,75.00,8.00
orange,6.58,124.31,161.00,84.00,4.00
orange,6.59,124.42,151.00,80.00,7.00
orange,6.59,124.42,160.00,84.00,13.00
orange,6.59,124.46,159.00,87.00,2.00
orange,6.59,124.52,169.00,78.00,26.00
orange,6.59,124.72,149.00,74.00,11.00
orange,6.59,124.75,162.00,96.00,3.00
orange,6.59,124.76,151.00,83.00,6.00
orange,6.60,124.78,142.00,80.00,2.00
orange,6.60,124.81,160.00,71.00,8.00
orange,6.60,124.87,157.00,76.00,9.00
orange,6.60,124.88,167.00,88.00,13.00
orange,6.60,124.88,158.00,80.00,13.00
orange,6.60,124.91,157.00,97.00,2.00
orange,6.60,124.95,137.00,80.00,18.00
orange,6.61,124.95,151.00,82.00,12.00
orange,6.61,124.97,143.00,72.00,8.00
orange,6.61,124.98,154.00,79.00,8.00
orange,6.61,125.03,164.00,71.00,7.00
orange,6.61,125.07,164.00,74.00,11.00
orange,6.61,125.07,147.00,80.00,9.00
orange,6.62,125.08,151.00,70.00,11.00
orange,6.62,125.08,154.00,85.00,28.00
orange,6.62,125.11,158.00,90.00,14.00
orange,6.62,125.11,151.00,85.00,22.00
orange,6.62,125.12,142.00,65.00,2.00
orange,6.62,125.16,158.00,92.00,2.00
orange,6.62,125.16,157.00,103.00,2.00
orange,6.62,125.22,152.00,75.00,8.00
orange,6.62,125.22,167.00,102.00,14.00
orange,6.62,125.22,153.00,74.00,5.00
orange,6.62,125.23,154.00,77.00,2.00
orange,6.63,125.24,143.00,82.00,3.00
orange,6.63,125.25,153.00,90.00,2.00
orange,6.63,125.38,144.00,71.00,6.00
orange,6.64,125.42,157.00,83.00,9.00
orange,6.64,125.42,161.00,83.00,13.00
orange,6.64,125.45,165.00,77.00,2.00
orange,6.64,125.46,153.00,93.00,2.00
orange,6.64,125.47,171.00,58.00,2.00
orange,6.64,125.49,137.00,83.00,2.00
orange,6.64,125.57,170.00,83.00,3.00
orange,6.65,125.61,167.00,92.00,4.00
orange,6.65,125.64,170.00,66.00,2.00
orange,6.65,125.64,154.00,71.00,18.00
orange,6.65,125.66,150.00,65.00,2.00
orange,6.65,125.68,148.00,78.00,15.00
orange,6.65,125.71,143.00,85.00,17.00
orange,6.65,125.74,159.00,78.00,2.00
orange,6.65,125.75,150.00,76.00,25.00
orange,6.65,125.78,167.00,84.00,13.00
orange,6.66,125.79,153.00,72.00,13.00
orange,6.66,125.81,159.00,76.00,8.00
orange,6.67,125.84,167.00,95.00,2.00
orange,6.67,125.88,155.00,93.00,2.00
orange,6.67,125.89,135.00,82.00,2.00
orange,6.67,125.90,146.00,60.00,6.00
orange,6.67,125.92,145.00,63.00,2.00
orange,6.67,125.94,149.00,77.00,4.00
orange,6.68,125.95,159.00,67.00,13.00
orange,6.68,125.96,147.00,88.00,17.00
orange,6.68,125.97,163.00,80.00,2.00
orange,6.68,126.03,156.00,95.00,6.00
orange,6.69,126.08,135.00,96.00,20.00
orange,6.69,126.18,159.00,62.00,6.00
orange,6.69,126.22,165.00,65.00,19.00
orange,6.69,126.24,163.00,85.00,4.00
orange,6.69,126.27,160.00,80.00,17.00
orange,6.69,126.29,144.00,71.00,10.00
orange,6.69,126.31,164.00,86.00,2.00
orange,6.70,126.41,148.00,79.00,2.00
orange,6.70,126.44,144.00,89.00,2.00
orange,6.70,126.45,140.00,78.00,15.00
orange,6.70,126.50,168.00,80.00,3.00
orange,6.70,126.51,171.00,81.00,13.00
orange,6.70,126.54,151.00,65.00,17.00
orange,6.71,126.54,153.00,78.00,10.00
orange,6.71,126.55,147.00,73.00,19.00
orange,6.71,126.58,145.00,87.00,2.00
orange,6.71,126.59,162.00,63.00,9.00
orange,6.71,126.62,148.00,81.00,2.00
orange,6.71,126.62,163.00,75.00,9.00
orange,6.71,126.65,170.00,87.00,2.00
orange,6.72,126.66,162.00,85.00,2.00
orange,6.72,126.69,168.00,83.00,2.00
orange,6.72,126.70,146.00,89.00,9.00
orange,6.72,126.74,152.00,93.00,14.00
orange,6.73,126.75,147.00,84.00,2.00
orange,6.73,126.78,154.00,77.00,16.00
orange,6.73,126.80,162.00,74.00,2.00
orange,6.73,126.93,151.00,89.00,2.00
orange,6.73,126.93,151.00,102.00,2.00
orange,6.73,126.93,160.00,79.00,10.00
orange,6.74,126.94,158.00,81.00,2.00
orange,6.74,126.94,149.00,86.00,10.00
orange,6.74,126.99,153.00,100.00,2.00
orange,6.74,127.01,147.00,77.00,2.00
orange,6.75,127.01,169.00,89.00,14.00
orange,6.75,127.04,137.00,82.00,18.00
orange,6.75,127.07,159.00,86.00,3.00
orange,6.76,127.16,165.00,97.00,8.00
orange,6.76,127.17,152.00,94.00,4.00
orange,6.76,127.24,164.00,78.00,3.00
orange,6.77,127.26,166.00,89.00,16.00
orange,6.77,127.28,171.00,77.00,11.00
orange,6.77,127.28,164.00,92.00,23.00
orange,6.77,127.30,161.00,72.00,12.00
orange,6.77,127.32,140.00,99.00,2.00
orange,6.77,127.34,154.00,73.00,2.00
orange,6.77,127.34,160.00,68.00,6.00
orange,6.78,127.35,149.00,79.00,20.00
orange,6.78,127.38,152.00,87.00,15.00
orange,6.78,127.41,162.00,70.00,23.00
orange,6.78,127.42,171.00,93.00,4.00
orange,6.78,127.46,153.00,111.00,10.00
orange,6.79,127.46,144.00,79.00,2.00
orange,6.79,127.47,156.00,90.00,3.00
orange,6.79,127.47,163.00,74.00,27.00
orange,6.79,127.48,137.00,78.00,23.00
orange,6.80,127.51,161.00,87.00,4.00
orange,6.80,127.55,150.00,102.00,2.00
orange,6.80,127.55,171.00,81.00,10.00
orange,6.80,127.57,172.00,83.00,2.00
orange,6.80,127.58,157.00,74.00,2.00
orange,6.80,127.59,155.00,67.00,11.00
orange,6.80,127.64,141.00,81.00,28.00
orange,6.80,127.67,161.00,73.00,4.00
orange,6.80,127.67,163.00,70.00,2.00
orange,6.81,127.67,155.00,78.00,6.00
orange,6.81,127.70,156.00,82.00,9.00
orange,6.82,127.75,163.00,67.00,5.00
orange,6.82,127.77,164.00,92.00,7.00
orange,6.82,127.82,166.00,90.00,13.00
orange,6.82,127.94,164.00,88.00,8.00
orange,6.82,127.95,170.00,82.00,2.00
orange,6.82,127.95,149.00,76.00,6.00
orange,6.82,127.95,169.00,75.00,14.00
orange,6.82,127.99,151.00,89.00,3.00
orange,6.82,128.00,145.00,72.00,10.00
orange,6.82,128.08,159.00,93.00,3.00
orange,6.82,128.08,160.00,87.00,2.00
orange,6.82,128.08,150.00,78.00,5.00
orange,6.83,128.22,169.00,84.00,2.00
orange,6.83,128.24,160.00,87.00,2.00
orange,6.83,128.24,156.00,86.00,2.00
orange,6.83,128.27,154.00,91.00,15.00
orange,6.84,128.30,154.00,80.00,17.00
orange,6.84,128.31,168.00,92.00,8.00
orange,6.84,128.31,132.00,81.00,6.00
orange,6.84,128.33,139.00,88.00,2.00
orange,6.84,128.33,149.00,89.00,10.00
orange,6.84,128.35,166.00,72.00,3.00
orange,6.84,128.37,158.00,96.00,2.00
orange,6.84,128.37,156.00,65.00,7.00
orange,6.85,128.41,159.00,80.00,13.00
orange,6.85,128.49,167.00,84.00,10.00
orange,6.85,128.52,155.00,81.00,7.00
orange,6.85,128.54,180.00,105.00,11.00
orange,6.85,128.56,147.00,78.00,2.00
orange,6.85,128.67,155.00,95.00,2.00
orange,6.85,128.68,165.00,86.00,2.00
orange,6.85,128.70,167.00,72.00,5.00
orange,6.86,128.80,152.00,90.00,5.00
orange,6.86,128.80,124.00,77.00,15.00
orange,6.86,128.81,153.00,75.00,2.00
orange,6.86,128.84,154.00,91.00,22.00
orange,6.86,128.85,174.00,81.00,21.00
orange,6.87,128.89,135.00,87.00,7.00
orange,6.87,128.94,168.00,86.00,19.00
orange,6.87,129.00,149.00,82.00,2.00
orange,6.87,129.17,153.00,77.00,21.00
orange,6.87,129.17,156.00,70.00,2.00
orange,6.87,129.18,163.00,89.00,7.00
orange,6.87,129.19,162.00,93.00,2.00
orange,6.88,129.25,152.00,83.00,6.00
orange,6.88,129.30,142.00,101.00,2.00
orange,6.88,129.37,152.00,77.00,2.00
orange,6.88,129.38,149.00,91.00,2.00
orange,6.88,129.42,154.00,83.00,8.00
orange,6.88,129.43,154.00,69.00,2.00
orange,6.88,129.44,127.00,90.00,11.00
orange,6.88,129.46,166.00,84.00,2.00
orange,6.89,129.52,143.00,78.00,4.00
orange,6.89,129.57,151.00,71.00,2.00
orange,6.89,129.58,153.00,70.00,9.00
orange,6.89,129.59,137.00,77.00,2.00
orange,6.89,129.60,152.00,86.00,2.00
orange,6.89,129.68,158.00,84.00,2.00
orange,6.89,129.71,155.00,95.00,23.00
orange,6.90,129.72,159.00,71.00,3.00
orange,6.90,129.73,158.00,91.00,8.00
orange,6.90,129.75,151.00,85.00,2.00
orange,6.90,129.75,149.00,80.00,5.00
orange,6.90,129.78,161.00,90.00,16.00
orange,6.90,129.79,144.00,73.00,2.00
orange,6.90,129.80,149.00,83.00,4.00
orange,6.90,129.81,169.00,87.00,2.00
orange,6.90,129.91,155.00,77.00,32.00
orange,6.90,129.92,151.00,105.00,7.00
orange,6.90,129.94,151.00,75.00,28.00
orange,6.91,129.94,159.00,82.00,10.00
orange,6.91,129.94,145.00,83.00,24.00
orange,6.91,129.99,160.00,76.00,2.00
orange,6.91,130.02,156.00,101.00,24.00
orange,6.91,130.02,167.00,92.00,2.00
orange,6.91,130.13,156.00,91.00,22.00
orange,6.91,130.13,157.00,74.00,16.00
orange,6.91,130.13,145.00,88.00,12.00
orange,6.91,130.14,159.00,85.00,7.00
orange,6.91,130.15,147.00,104.00,4.00
orange,6.91,130.15,152.00,83.00,2.00
orange,6.91,130.15,164.00,85.00,34.00
orange,6.92,130.19,168.00,68.00,2.00
orange,6.92,130.20,158.00,80.00,8.00
orange,6.92,130.25,164.00,85.00,6.00
orange,6.92,130.26,155.00,61.00,2.00
orange,6.92,130.28,152.00,84.00,2.00
orange,6.92,130.29,142.00,82.00,2.00
orange,6.93,130.39,162.00,69.00,7.00
orange,6.93,130.42,138.00,100.00,7.00
orange,6.93,130.43,161.00,79.00,2.00
orange,6.93,130.45,170.00,76.00,9.00
orange,6.93,130.46,165.00,84.00,16.00
orange,6.93,130.48,156.00,94.00,2.00
orange,6.93,130.49,180.00,86.00,5.00
orange,6.93,130.49,155.00,90.00,9.00
orange,6.93,130.51,162.00,82.00,2.00
orange,6.93,130.52,151.00,72.00,13.00
orange,6.93,130.54,153.00,97.00,2.00
orange,6.93,130.57,155.00,97.00,29.00
orange,6.93,130.60,153.00,96.00,2.00
orange,6.94,130.67,141.00,66.00,5.00
orange,6.94,130.68,161.00,90.00,2.00
orange,6.94,130.71,147.00,71.00,2.00
orange,6.94,130.72,139.00,73.00,10.00
orange,6.94,130.73,172.00,89.00,3.00
orange,6.94,130.73,168.00,84.00,9.00
orange,6.95,130.77,162.00,101.00,2.00
orange,6.95,130.80,149.00,76.00,2.00
orange,6.95,130.81,163.00,81.00,2.00
orange,6.95,130.82,168.00,103.00,17.00
orange,6.95,130.84,141.00,96.00,6.00
orange,6.95,130.84,151.00,92.00,13.00
orange,6.95,130.85,156.00,90.00,2.00
orange,6.95,130.88,155.00,78.00,2.00
orange,6.95,130.90,147.00,90.00,16.00
orange,6.95,130.90,157.00,85.00,4.00
orange,6.95,130.90,152.00,71.00,2.00
orange,6.96,130.90,156.00,77.00,15.00
orange,6.96,130.96,151.00,79.00,2.00
orange,6.96,130.97,152.00,85.00,2.00
orange,6.96,130.99,156.00,98.00,9.00
orange,6.97,130.99,163.00,111.00,2.00
orange,6.97,131.02,169.00,83.00,2.00
orange,6.97,131.02,162.00,88.00,2.00
orange,6.97,131.02,138.00,88.00,2.00
orange,6.97,131.03,169.00,59.00,11.00
orange,6.97,131.04,151.00,81.00,6.00
orange,6.98,131.06,170.00,72.00,2.00
orange,6.98,131.11,161.00,79.00,6.00
orange,6.98,131.11,145.00,66.00,15.00
orange,6.98,131.11,161.00,74.00,2.00
orange,6.98,131.11,152.00,89.00,4.00
orange,6.98,131.13,165.00,91.00,2.00
orange,6.98,131.13,153.00,94.00,2.00
orange,6.98,131.18,171.00,84.00,18.00
orange,6.99,131.19,150.00,57.00,2.00
orange,6.99,131.20,153.00,94.00,2.00
orange,6.99,131.21,156.00,76.00,2.00
orange,6.99,131.21,156.00,86.00,2.00
orange,6.99,131.22,141.00,92.00,12.00
orange,6.99,131.23,147.00,98.00,2.00
orange,6.99,131.25,152.00,100.00,12.00
orange,6.99,131.25,157.00,75.00,2.00
orange,6.99,131.28,160.00,81.00,3.00
orange,6.99,131.32,179.00,85.00,2.00
orange,6.99,131.35,157.00,92.00,13.00
orange,7.00,131.35,152.00,85.00,2.00
orange,7.00,131.36,153.00,65.00,6.00
orange,7.00,131.41,164.00,103.00,11.00
orange,7.00,131.44,164.00,81.00,2.00
